intercept,Elev_mean,Asp_mean,Slope_mean,NDVI_mean,RnMax_mean
-3.753887737433692,0.14769150336323447,0.0888280321819959,0.6337610355657907,0.11145877248599688,0.09004850732869703
-3.6162340799380566,0.1516446370105408,0.07633638590188446,0.5539905031843607,-0.03835926405621316,0.2613811064116525
-3.6015336555161532,0.02869908446806308,0.027696884639377577,0.5572927509547833,-0.09386422041649468,0.12195280349415945
-3.6121551209402885,0.08534883542426497,-0.10655979919284282,0.5451823732158338,0.11394897177808425,0.16412288380941883
-3.586395786638068,-0.0068192406468414665,-0.0981186040680768,0.6959088724678628,-0.11791088708138056,0.20770712764667698
-3.561475882246526,0.04243769148157291,0.03958119771694843,0.6139505090747087,0.02018278239917185,0.13636600118889985
-3.6819033876198373,0.039214359863726345,0.08217368469948744,0.7975304233358647,-0.057130675336265126,0.10906553292060417
-3.6005733103494406,0.06903121635488761,0.015398574880976151,0.5435356146908378,0.09699752939142,0.2413515106218554
-3.6212434100099093,-0.01772688329679723,-0.060231140632541556,0.6263429074923395,-0.008988174879039294,0.15892296627409347
-3.5345111068568316,0.14588137170543305,-0.10547776023760623,0.5151449044450728,-0.048935020538538036,0.05838549322118099
